match_id,competition_id,season_id,match_date,team,opponent,is_home,goals_for,goals_against,xg_for,xg_against,shot_accuracy_pct,possession_pct,progressive_passes_pct
3857290,43,106,2022-11-24,Switzerland,Cameroon,1,1,0,1.426544536,0.6130733495,42.857142857142854,50.73937153419593,23.644251626898047
3857290,43,106,2022-11-24,Cameroon,Switzerland,0,0,1,0.6130733495,1.426544536,62.5,49.26062846580407,20.909090909090907
3857272,43,106,2022-11-25,England,United States,1,0,0,0.460638346,0.514287002,37.5,56.06936416184971,22.6
3857272,43,106,2022-11-25,United States,England,0,0,0,0.514287002,0.460638346,10.0,43.93063583815029,21.485411140583555
3857301,43,106,2022-11-25,Qatar,Senegal,1,1,3,0.9600861730000001,0.9029646219999999,30.0,45.24524524524524,24.30939226519337
3857301,43,106,2022-11-25,Senegal,Qatar,0,3,1,0.9029646219999999,0.9600861730000001,33.33333333333333,54.75475475475476,20.562770562770563
3857274,43,106,2022-11-25,Netherlands,Ecuador,1,1,1,0.104464025,1.651054305,50.0,54.38423645320197,23.63238512035011
3857274,43,106,2022-11-25,Ecuador,Netherlands,0,1,1,1.651054305,0.104464025,26.666666666666668,45.61576354679803,22.841225626740947
3857273,43,106,2022-11-25,Wales,Iran,1,0,2,0.6156351910000001,1.4539579476000002,30.0,60.62906724511931,25.799086757990867
3857273,43,106,2022-11-25,Iran,Wales,0,2,0,1.4539579476000002,0.6156351910000001,28.57142857142857,39.37093275488069,36.56387665198238
3857289,43,106,2022-11-26,Argentina,Mexico,1,2,0,0.325204139,0.20639165169999998,40.0,58.453608247422686,16.80672268907563
3857289,43,106,2022-11-26,Mexico,Argentina,0,0,2,0.20639165169999998,0.325204139,25.0,41.54639175257732,18.421052631578945
3857266,43,106,2022-11-26,France,Denmark,1,2,1,1.9335694290000003,0.8885438419999999,28.57142857142857,48.78048780487805,20.689655172413794
3857266,43,106,2022-11-26,Denmark,France,0,1,2,0.8885438419999999,1.9335694290000003,20.0,51.21951219512195,21.50313152400835
3857297,43,106,2022-11-26,Poland,Saudi Arabia,1,2,0,1.7341724849999998,1.971976484,33.33333333333333,36.6702937976061,25.868725868725868
3857297,43,106,2022-11-26,Saudi Arabia,Poland,0,0,2,1.971976484,1.7341724849999998,29.411764705882355,63.32970620239391,20.449897750511248
3857288,43,106,2022-11-26,Tunisia,Australia,1,0,1,1.052170345,0.3590377687,28.57142857142857,57.56302521008403,22.660098522167488
3857288,43,106,2022-11-26,Australia,Tunisia,0,1,0,0.3590377687,1.052170345,22.22222222222222,42.436974789915965,27.73722627737226
3857295,43,106,2022-11-27,Japan,Costa Rica,1,0,1,0.773533495,0.199368384,23.076923076923077,56.84113865932048,20.30360531309298
3857295,43,106,2022-11-27,Costa Rica,Japan,0,1,0,0.199368384,0.773533495,25.0,43.15886134067952,18.449197860962567
3857281,43,106,2022-11-27,Croatia,Canada,1,4,1,2.6102110830000003,0.286795181,76.92307692307693,48.93822393822394,22.871046228710462
3857281,43,106,2022-11-27,Canada,Croatia,0,1,4,0.286795181,2.6102110830000003,25.0,51.061776061776065,25.62929061784897
3857263,43,106,2022-11-27,Spain,Germany,1,1,1,0.6395007165,1.1469521137,42.857142857142854,64.11992263056094,20.242214532871973
3857263,43,106,2022-11-27,Germany,Spain,0,1,1,1.1469521137,0.6395007165,36.36363636363637,35.88007736943907,23.367697594501717
3857283,43,106,2022-11-27,Belgium,Morocco,1,0,2,0.642612082,0.99110855,40.0,66.95238095238095,20.86092715231788
3857283,43,106,2022-11-27,Morocco,Belgium,0,2,0,0.99110855,0.642612082,40.0,33.04761904761905,25.435540069686414
3857270,43,106,2022-11-28,Portugal,Uruguay,1,2,0,1.2137340055999999,1.216681074,20.0,58.83458646616542,20.19047619047619
3857270,43,106,2022-11-28,Uruguay,Portugal,0,0,2,1.216681074,1.2137340055999999,27.27272727272727,41.16541353383459,25.617283950617285
3857259,43,106,2022-11-28,Cameroon,Serbia,1,3,3,2.0703093487,1.738067283,61.53846153846154,42.42749731471536,25.36231884057971
3857259,43,106,2022-11-28,Serbia,Cameroon,0,3,3,1.738067283,2.0703093487,33.33333333333333,57.57250268528465,25.70093457943925
3857269,43,106,2022-11-28,Brazil,Switzerland,1,1,0,0.922729946,0.288629175,38.46153846153847,53.783783783783775,16.962524654832347
3857269,43,106,2022-11-28,Switzerland,Brazil,0,0,1,0.288629175,0.922729946,0.0,46.21621621621622,20.327102803738317
3857299,43,106,2022-11-28,South Korea,Ghana,1,2,3,1.3677928149999996,1.1805358279999998,28.57142857142857,64.02116402116403,22.44488977955912
3857299,43,106,2022-11-28,Ghana,South Korea,0,3,2,1.1805358279999998,1.3677928149999996,42.857142857142854,35.978835978835974,19.924812030075188
3857267,43,106,2022-11-29,Ecuador,Senegal,1,1,2,1.001662787,1.7074647099999998,44.44444444444444,59.92268041237113,24.585635359116022
